time	T hot	T water	T cold	mBar
16:10:19	25.1	25.2	25.1	7395
16:10:21	25.1	25.3	25.1	7394
16:10:23	25.1	25.2	25.1	7394
16:10:24	25.0	25.2	25.1	7395
16:10:26	25.1	25.2	25.1	7393
16:10:27	25.1	25.2	25.1	7394
16:10:29	25.1	25.2	25.1	7394
16:10:30	25.1	25.2	25.1	7393
16:10:32	25.1	25.2	25.1	7392
16:10:34	25.1	25.2	25.1	7390
16:10:35	25.1	25.2	25.1	7390
16:10:37	25.1	25.2	25.1	7390
16:10:38	25.1	25.2	25.1	7392
16:10:40	25.1	25.2	25.1	7390
16:10:42	25.1	25.2	25.1	7389
16:10:43	25.1	25.2	25.1	7389
16:10:45	25.1	25.2	25.1	7390
16:10:46	25.1	25.2	25.1	7388
16:10:48	25.0	25.3	25.1	7388
16:10:49	25.1	25.3	25.1	7388
16:10:51	25.1	25.3	25.1	7385
16:10:53	25.1	25.3	25.1	7384
16:10:54	25.1	25.3	25.1	7387
16:10:56	25.1	25.3	25.1	7387
16:10:57	25.0	25.2	25.1	7387
16:10:59	25.0	25.3	25.1	7383
16:11:00	25.1	25.2	25.1	7384
16:11:02	25.1	25.3	25.1	7384
16:11:04	25.0	25.3	25.1	7382
16:11:05	25.1	25.2	25.1	7382
16:11:07	25.1	25.3	25.1	7380
16:11:08	25.1	25.3	25.1	7382
16:11:10	25.1	25.3	25.1	7382
16:11:12	25.1	25.3	25.1	7379
16:11:13	25.1	25.3	25.1	7379
16:11:15	25.1	25.3	25.1	7380
16:11:16	25.1	25.3	25.1	7379
16:11:18	25.1	25.3	25.1	7379
16:11:19	25.1	25.3	25.1	7379
16:11:21	25.1	25.3	25.1	7378
16:11:23	25.0	25.3	25.1	7378
16:11:24	25.0	25.3	25.1	7379
16:11:26	25.0	25.3	25.1	7377
16:11:27	25.1	25.3	25.1	7377
16:11:29	25.0	25.3	25.1	7377
16:11:31	25.0	25.3	25.1	7377
16:11:32	25.1	25.3	25.1	7374
16:11:34	25.1	25.2	25.1	7374
16:11:35	25.0	25.2	25.1	7375
16:11:37	25.1	25.2	25.1	7377
16:11:38	25.0	25.2	25.0	7377
16:11:40	25.1	25.2	25.1	7374
16:11:42	25.0	25.2	25.1	7375
16:11:43	25.1	25.2	25.1	7373
16:11:45	25.0	25.2	25.1	7374
16:11:46	25.0	25.2	25.1	7372
16:11:48	25.1	25.2	25.1	7372
16:11:50	25.1	25.2	25.1	7372
16:11:51	25.1	25.2	25.1	7372
16:11:53	25.0	25.2	25.1	7372
16:11:54	25.0	25.2	25.1	7369
16:11:56	25.0	25.2	25.0	7371
16:11:57	25.0	25.2	25.1	7371
16:11:59	25.0	25.2	25.1	7369
16:12:01	25.0	25.1	25.0	7372
16:12:02	25.0	25.1	25.0	7369
16:12:04	25.0	25.1	25.1	7367
16:12:05	25.0	25.1	25.0	7367
16:12:07	25.0	25.2	25.0	7366
16:12:09	25.0	25.2	25.1	7366
16:12:10	25.0	25.1	25.0	7367
16:12:12	25.0	25.2	25.0	7366
16:12:13	25.0	25.2	25.0	7366
16:12:15	25.0	25.2	25.0	7364
16:12:16	25.0	25.2	25.0	7364
16:12:18	25.0	25.1	25.1	7363
16:12:20	25.0	25.2	25.1	7363
16:12:21	25.0	25.2	25.1	7363
16:12:23	25.0	25.2	25.1	7363
16:12:24	25.1	25.1	25.1	7363
16:12:26	25.0	25.2	25.0	7363
16:12:27	25.0	25.2	25.1	7362
16:12:29	25.0	25.2	25.0	7362
16:12:31	25.0	25.2	25.0	7362
16:12:32	25.0	25.2	25.0	7358
16:12:34	24.9	25.2	25.0	7361
16:12:35	24.9	25.2	25.0	7361
16:12:37	24.9	25.2	25.0	7359
16:12:39	24.9	25.2	25.0	7359
16:12:40	24.9	25.2	24.9	7359
16:12:42	24.9	25.1	24.9	7357
16:12:43	24.9	25.2	25.0	7356
