time	T cell	T cold	mBar
10:56:43	-47.2	-46.8	4290
10:56:45	-47.2	-46.8	4284
10:56:46	-47.3	-46.8	4283
10:56:48	-47.4	-46.9	4281
10:56:49	-47.4	-46.9	4280
10:56:51	-47.4	-46.9	4272
10:56:53	-47.4	-46.9	4276
10:56:54	-47.3	-47.0	4274
10:56:56	-47.4	-46.9	4273
10:56:57	-47.4	-47.0	4270
10:56:59	-47.4	-47.0	4265
10:57:00	-47.4	-47.0	4265
10:57:02	-47.5	-47.0	4267
10:57:04	-47.5	-47.0	4257
10:57:05	-47.5	-47.1	4259
10:57:07	-47.4	-47.1	4258
10:57:08	-47.5	-47.1	4254
10:57:10	-47.5	-47.1	4254
10:57:11	-47.5	-47.1	4250
10:57:13	-47.6	-47.1	4248
10:57:15	-47.7	-47.2	4249
10:57:16	-47.7	-47.2	4244
10:57:18	-47.6	-47.2	4241
10:57:19	-47.6	-47.2	4246
10:57:21	-47.5	-47.2	4241
10:57:23	-47.5	-47.2	4236
10:57:24	-47.6	-47.2	4233
10:57:26	-47.6	-47.2	4232
10:57:27	-47.7	-47.2	4229
10:57:29	-47.7	-47.3	4231
10:57:30	-47.7	-47.2	4227
10:57:32	-47.6	-47.3	4229
10:57:34	-47.6	-47.3	4227
10:57:35	-47.7	-47.3	4223
10:57:37	-47.7	-47.3	4221
10:57:38	-47.7	-47.4	4222
10:57:40	-47.8	-47.3	4220
10:57:41	-47.8	-47.3	4211
10:57:43	-47.8	-47.4	4217
10:57:45	-47.8	-47.4	4211
10:57:46	-47.7	-47.4	4211
10:57:48	-47.7	-47.4	4211
10:57:49	-47.8	-47.4	4206
10:57:51	-47.9	-47.4	4207
10:57:53	-47.9	-47.5	4205
10:57:54	-48.0	-47.4	4201
10:57:56	-47.9	-47.4	4202
10:57:57	-47.9	-47.4	4202
10:57:59	-47.9	-47.5	4197
10:58:00	-47.8	-47.4	4196
10:58:02	-47.8	-47.5	4197
10:58:04	-47.9	-47.5	4192
10:58:05	-48.0	-47.5	4192
10:58:07	-48.0	-47.5	4192
10:58:08	-48.0	-47.5	4192
10:58:10	-47.9	-47.6	4192
10:58:11	-47.8	-47.5	4194
10:58:13	-47.9	-47.5	4189
10:58:15	-47.8	-47.5	4189
10:58:16	-47.9	-47.5	4184
10:58:18	-48.0	-47.5	4170
10:58:19	-48.0	-47.5	4184
10:58:21	-48.0	-47.6	4181
10:58:22	-48.0	-47.5	4179
10:58:24	-47.9	-47.6	4177
10:58:26	-47.9	-47.6	4166
10:58:27	-47.9	-47.6	4166
10:58:29	-47.9	-47.5	4166
10:58:30	-48.0	-47.6	4166
10:58:32	-48.0	-47.6	4161
10:58:34	-48.0	-47.6	4165
10:58:35	-48.0	-47.6	4165
10:58:37	-47.9	-47.6	4164
10:58:38	-48.0	-47.6	4164
10:58:40	-48.0	-47.6	4158
10:58:41	-48.0	-47.6	4156
10:58:43	-48.0	-47.6	4159
10:58:45	-48.0	-47.6	4156
10:58:46	-48.1	-47.6	4159
10:58:48	-48.0	-47.6	4158
10:58:49	-47.9	-47.6	4154
10:58:51	-48.0	-47.6	4153
10:58:53	-48.0	-47.6	4155
10:58:54	-48.0	-47.6	4151
10:58:56	-48.0	-47.6	4149
10:58:57	-48.1	-47.7	4153
10:58:59	-48.1	-47.6	4149
10:59:00	-48.1	-47.7	4151
10:59:02	-48.0	-47.7	4153
10:59:04	-48.0	-47.7	4148
10:59:05	-48.0	-47.7	4148
10:59:07	-48.0	-47.7	4148
10:59:08	-48.0	-47.6	4143
